,logEvent,labels
0,onError(): ERestServiceResourceNotFound: No resource found of type 'Channel' with id '',1
1,buildFromJson(): Error parsing channelInternalProviderData,3
2,"onError(): com.android.volley.NoConnectionError: java.net.UnknownHostException: Unable to resolve host ""uhd-traxis-api.quickline.ch"": No address associated with hostname",11
3,"[AppE               ] Process sleep took ms
",4
4,"onError(): java.net.UnknownHostException: Unable to resolve host ""uhd-traxis-api.quickline.ch"": No address associated with hostname",2
5,  Request: GetChannelsRequest,5
6,ResourceEvaluationCount=: exceeds . Forbidden in production environment.,6
7,"[TtxServer.HttpServer] InarisTtxsHttpServerSendTeletextResponse
",10
8,"onError(): EInvalidSessionId: Invalid parameter 'SessionId', value ''",7
9,"[CfgM.Configuration  ] Access to unknown property 'serviceManager.cableSpectrumInversion' failed
",12
10,setResult(): failed. Future already finished.,38
11,setResult(result): failed. Future already finished.,8
12,setFailure(): failed. Future already finished.,22
13," [AppE               ] Process sleep took ms
",4
14,"[AppE.SM            ] PreStartPlayer() failed: Channel unknown.
",13
15,"[Osal.File           ] InarisOsalFileOpen: Illegal path 'scanchannels.xml'
",39
16,"[Osal.File           ] InarisOsalFileOpen: Illegal path 'sgrp_default.xml'
",9
17,"[SM.UrlParser        ] Error at location: .
",16
18,tuneChannels(): SM_GET_TS_ID_RESULT_NO_SIGNAL,30
19,"[SM.UrlParser        ] Parsing DVB URL was not successful: dvb://.
",15
20,Failed to copy channel logo from url  to ,21
21,Tango is not initialized,25
22,"droppedFrames [., ]",20
23,onError(): java.net.NoRouteToHostException: No route to host,19
24,onError(): com.android.volley.NoConnectionError: java.net.ConnectException: Network is unreachable,28
25,onError(): HTTP Status Code: ,26
26,Error parsing Titles,33
27,onError(): null,23
28,ERROR,29
29,onError(): com.android.volley.TimeoutError,35
30,audioSinkUnderrun [],24
31,"de.tara_systems.quickline.qluhdutils.api.Failure: HomingChannel not detected.
	at de.tara_systems.quickline_uhd_tvinput.service_area_discovery.ServiceAreaDiscovery$ServiceAreaDiscoveryHandlerThread.createFailure(ServiceAreaDiscovery.java:)
	at de.tara_systems.quickline_uhd_tvinput.service_area_discovery.ServiceAreaDiscovery$ServiceAreaDiscoveryHandlerThread.tuneHomingChannels(ServiceAreaDiscovery.java:)
	at de.tara_systems.quickline_uhd_tvinput.service_area_discovery.ServiceAreaDiscovery$ServiceAreaDiscoveryHandlerThread.access$(ServiceAreaDiscovery.java:)
	at de.tara_systems.quickline_uhd_tvinput.service_area_discovery.ServiceAreaDiscovery$ServiceAreaDiscoveryHandlerThread$.handleMessage(ServiceAreaDiscovery.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
",27
32,loadSubscriberToken(): java.lang.NullPointerException: Attempt to invoke virtual method 'int java.lang.String.length()' on a null object reference,14
33,onError(): ENotAuthorized: Customer '' is not authorized to view channel '' [|||||||||||||||||||||],17
34,load(): Error loading settings from qmc proxy,42
35,  Request: GetRecordingStatusesRequest,45
36,tuneChannels(): Failed.,18
37,"onError(): com.android.volley.NoConnectionError: java.net.UnknownHostException: Unable to resolve host ""uhd-traxis-api.stage.quickline.ch"": No address associated with hostname",11
38,"The start time is earlier than the time of availability: {startTime: , availability: ",32
39,"E  ::, [SM.Service          ] No transponder found for unknown service 
",44
40,"E  ::, [CfgM.Configuration  ] Access to unknown property 'serviceManager.cableSpectrumInversion' failed
",12
41,createContentStreamingSession: Failed to create request.,31
42,onError(): com.android.volley.NoConnectionError: java.net.NoRouteToHostException: No route to host,19
43,"release() called, but Proxies not yet destroyed.",37
44,"de.tara_systems.quickline.qluhdutils.api.Failure: de.tara_systems.quickline.qluhdutils.api.Failure: Request timeout
	at de.tara_systems.quickline.traxisclient.impl.channel.ChannelsLoader$ChannelsLoaderHandlerThread$.handleMessage(ChannelsLoader.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: de.tara_systems.quickline.qluhdutils.api.Failure: Request timeout
	at de.tara_systems.quickline.traxisclient.impl.manager.QueueManager.discardExpiredRequests(QueueManager.java:)
	at de.tara_systems.quickline.traxisclient.impl.manager.QueueManager.access$(QueueManager.java:)
	at de.tara_systems.quickline.traxisclient.impl.manager.QueueManager$QueueManagerHandlerThread$.handleMessage(QueueManager.java:)
	...  more
",50
45,"Failed to load Channels trying to tune to the first available channel. Error: getChannel(): not found for id=-
de.tara_systems.quickline.qluhdutils.api.Failure: getChannel(): not found for id=-
	at de.tara_systems.quickline.tangoclient.impl.channel.ChannelManagerImpl.getChannel(ChannelManagerImpl.java:)
	at com.android.tv.MainActivity.onChannelsLoaded(MainActivity.java:)
	at java.lang.reflect.Method.invoke(Native Method)
	at org.greenrobot.eventbus.EventBus.invokeSubscriber(EventBus.java:)
	at org.greenrobot.eventbus.EventBus.postToSubscription(EventBus.java:)
	at org.greenrobot.eventbus.EventBus.postSingleEventForEventType(EventBus.java:)
	at org.greenrobot.eventbus.EventBus.postSingleEvent(EventBus.java:)
	at org.greenrobot.eventbus.EventBus.post(EventBus.java:)
	at com.android.tv.ChannelTuner.setChannelsLoaded(ChannelTuner.java:)
	at com.android.tv.ChannelTuner.onChannelListChanged(ChannelTuner.java:)
	at com.android.tv.ChannelTuner.onProfileLoaded(ChannelTuner.java:)
	at com.android.tv.ChannelTuner.access$(ChannelTuner.java:)
	at com.android.tv.ChannelTuner$.onSuccess(ChannelTuner.java:)
	at com.android.tv.ChannelTuner$.onSuccess(ChannelTuner.java:)
	at de.tara_systems.quickline.qluhdutils.api.Future.notifyCallbacks(Future.java:)
	at de.tara_systems.quickline.qluhdutils.api.Future.addCallback(Future.java:)
	at com.android.tv.ChannelTuner.loadCurrentProfileAsync(ChannelTuner.java:)
	at com.android.tv.ChannelTuner.access$(ChannelTuner.java:)
	at com.android.tv.ChannelTuner$$.run(ChannelTuner.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.app.ActivityThread.main(ActivityThread.java:)
	at java.lang.reflect.Method.invoke(Native Method)
	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:)
	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:)
",36
46,"E  ::, [Hal.Tuner           ] NEXUS_Frontend_Release
",34
47,ENotAuthorized: Customer '' is not authorized to view channel '' [|||||||||||||||||||||],17
48,onPlayerError(): sourceException=com.google.android.exoplayer.upstream.HttpDataSource$HttpDataSourceException: Unable to connect to  msg=null,41
49,  Request: GetRecordingsRequest,48
50,ExoPlayer onLoadError():,43
51,onBehindLiveWindowException(),47
52,Error parsing Channel,29
53,"requestPage(): null, ",23
54,loadCustomer(): de.tara_systems.quickline.qluhdutils.api.Failure: Request timeout,49
55,setIsReplayEnabled() not enabled,49
56,onError(): ENotAuthorized: Customer '' is not authorized to view rollingbuffer '' [InitialStartDateTime=EOutsidePlayableWindow],17
57,loadSubscriberToken(): java.lang.Throwable: java.lang.NullPointerException: Attempt to invoke virtual method 'int java.lang.String.length()' on a null object reference,14
58,play() Failed to get customer,49
59,log(): [SingleSignOn] Error: java.lang.Throwable: java.lang.NullPointerException: Attempt to invoke virtual method 'int java.lang.String.length()' on a null object reference,14
60,"The start time is earlier than the time of availability: {startTime: -, availability: ",32
61,"Failed to load Channels trying to tune to the first available channel. Error: getChannel(): not found for id=-
java.lang.Throwable: getChannel(): not found for id=-
	at de.tara_systems.quickline.tangoclient.impl.channel.ChannelManagerImpl.getChannel(ChannelManagerImpl.java:)
	at com.android.tv.MainActivity.onChannelsLoaded(MainActivity.java:)
	at java.lang.reflect.Method.invoke(Native Method)
	at org.greenrobot.eventbus.EventBus.invokeSubscriber(EventBus.java:)
	at org.greenrobot.eventbus.EventBus.postToSubscription(EventBus.java:)
	at org.greenrobot.eventbus.EventBus.postSingleEventForEventType(EventBus.java:)
	at org.greenrobot.eventbus.EventBus.postSingleEvent(EventBus.java:)
	at org.greenrobot.eventbus.EventBus.post(EventBus.java:)
	at com.android.tv.ChannelTuner.setChannelsLoaded(ChannelTuner.java:)
	at com.android.tv.ChannelTuner.onChannelListChanged(ChannelTuner.java:)
	at com.android.tv.ChannelTuner.onProfileLoaded(ChannelTuner.java:)
	at com.android.tv.ChannelTuner.access$(ChannelTuner.java:)
	at com.android.tv.ChannelTuner$.onSuccess(ChannelTuner.java:)
	at com.android.tv.ChannelTuner$.onSuccess(ChannelTuner.java:)
	at de.tara_systems.quickline.qluhdutils.api.Future.notifyCallbacks(Future.java:)
	at de.tara_systems.quickline.qluhdutils.api.Future.addCallback(Future.java:)
	at com.android.tv.ChannelTuner.loadCurrentProfileAsync(ChannelTuner.java:)
	at com.android.tv.ChannelTuner.access$(ChannelTuner.java:)
	at com.android.tv.ChannelTuner$$.run(ChannelTuner.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.app.ActivityThread.main(ActivityThread.java:)
	at java.lang.reflect.Method.invoke(Native Method)
	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:)
	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:)
",36
62,"E  ::, [Osal.File           ] InarisOsalFileOpen: Illegal path 'sgrp_default.xml'
",9
63,"E  ::, [AppE.SM            ] PreStartPlayer() failed: Channel unknown.
",13
64,onError(): java.net.ConnectException: Network is unreachable,28
65,jsonToTraxisColor(): Color not parsable (blue),49
66,"E  ::, [Osal.File           ] InarisOsalFileOpen: Illegal path 'scanchannels.xml'
",39
67,onPlayerError(): sourceException=com.google.android.exoplayer.upstream.HttpDataSource$InvalidResponseCodeException: Response code:  msg=null,41
68,log(): [SingleSignOn] Error: de.tara_systems.quickline.qluhdutils.api.Failure: java.lang.Throwable: java.lang.NullPointerException: Attempt to invoke virtual method 'int java.lang.String.length()' on a null object reference,14
69,loadSettingFromQmcProxy(): com.android.volley.NoConnectionError: javax.net.ssl.SSLHandshakeException: java.security.cert.CertPathValidatorException: Trust anchor for certification path not found.,46
70,"java.lang.Throwable: Error setting homing channel
	at de.tara_systems.quickline_uhd_tvinput.service_area_discovery.ServiceAreaDiscovery$ServiceAreaDiscoveryHandlerThread.finishFailure(ServiceAreaDiscovery.java:)
	at de.tara_systems.quickline_uhd_tvinput.service_area_discovery.ServiceAreaDiscovery$ServiceAreaDiscoveryHandlerThread.access$(ServiceAreaDiscovery.java:)
	at de.tara_systems.quickline_uhd_tvinput.service_area_discovery.ServiceAreaDiscovery$ServiceAreaDiscoveryHandlerThread$.handleMessage(ServiceAreaDiscovery.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
",27
71,Uri= wasCanceled=false,49
72,"Expected empty response body, but body is not empty.",40
73,Media: elapsedRealTimeMs= loadDurationMs= bytesLoaded=,49
74,onPlayerError(): sourceException=com.google.android.exoplayer.source.BehindLiveWindowException msg=null,41
75,onError(): ENotAuthorized: Customer '' is not authorized to view channel '' [||||||],17
76,ENotAuthorized: Customer '' is not authorized to view rollingbuffer '' [InitialStartDateTime=EOutsidePlayableWindow],17
77,onError(): com.android.volley.NoConnectionError: javax.net.ssl.SSLHandshakeException: Handshake failed,46
78,loadChannelsOttPaged(): Request timeout,49
79,loadCustomer(): java.lang.Throwable: Request timeout,49
80,"E  ::, [Hal.Tuner           ] InarisHalTunerBroadcomDestroy
",34
81,"de.tara_systems.quickline.qluhdutils.api.Failure
	at de.tara_systems.quickline.qluhdutils.api.SyncedFuture.awaitCountDownLatch(SyncedFuture.java:)
	at de.tara_systems.quickline.qluhdutils.api.SyncedFuture.awaitSeconds(SyncedFuture.java:)
	at de.tara_systems.quickline_uhd_tvinput.traxis_content_manager.ChannelManager.manageChannels(ChannelManager.java:)
	at de.tara_systems.quickline_uhd_tvinput.traxis_content_manager.ChannelProgramUpdater.manageChannels(ChannelProgramUpdater.java:)
	at de.tara_systems.quickline_uhd_tvinput.traxis_content_manager.ChannelProgramUpdater.update(ChannelProgramUpdater.java:)
	at de.tara_systems.quickline_uhd_tvinput.traxis_content_manager.ChannelProgramUpdaterThread$ChannelProgramUpdaterRunnable.run(ChannelProgramUpdaterThread.java:)
	at java.lang.Thread.run(Thread.java:)
",50
82,onError(): java.net.SocketException: Network is unreachable,28
83,loadSettingFromQmcProxy(): null,23
84,ENotAuthorized: Customer '' is not authorized to view channel '' [||||||],17
85,selectComponent(): Could not getCurrentTrackGroups,49
86,log(): [SingleSignOn] Error: de.tara_systems.quickline.qluhdutils.api.Failure: java.lang.Throwable: [invalid_request] Zu viele anmeldeversuche,49
87,Error while loading ssoProfiles,49
88,Error while updating profile,49
89,loadSubscriberToken(): [invalid_request] Zu viele anmeldeversuche,49
90,setHomingChannel(): Error setting homing channel at backend,49
91,loadSettingFromQmcProxy(): com.android.volley.ClientError,46
92,"onPlayerError(): sourceException=com.google.android.exoplayer.ParserException: Couldn't match NAME=""(.+?)"" in #EXT-X-MEDIA:URI=""(start=_stop=).mu"",TYPE=AUDIO,GROUP-ID=""MPEG- AAC -  kbps -  kHz - "",LANGUAGE=""en"",NAME="""",DEFAULT=YES,DEFAULT=YES msg=null",41
93,loadTraxisProfileData(): Request timeout,49
94,loadSubscriberToken(): java.lang.Throwable: [invalid_request] Zu viele anmeldeversuche,49
95,onError(): ENotAuthorized: Customer '' is not authorized to view channel '' [|||],17
96,onError(): com.android.volley.NoConnectionError: java.net.SocketException: Software caused connection abort,46
97,loadSubscriberToken(): Error receiving subscriber token,49
98,log(): [SingleSignOn] Error: java.lang.Throwable: [invalid_grant] Falscher PIN. Bitte versuchen Sie es erneut.,49
99,playerFailed [.]com.google.android.exoplayer.ExoPlaybackException,41
100,onError(): com.android.volley.ClientError,46
101,onError(): ERecordingManagement: Event '' is already recorded with id '',49
102,ENotAuthorized: Customer '' is not authorized to view channel '' [|||],17
103,"[SM.Recorder         ] Cannot start timeshift recording: Sink is missing
",49
104,onError(): ENotAuthorized: Customer '' is not authorized to view channel '' [||],17
105,"loadSettingFromQmcProxy(): com.android.volley.NoConnectionError: java.net.UnknownHostException: Unable to resolve host ""geneva.ambrite.ch"": No address associated with hostname",46
106,"failed to save profile
de.tara_systems.quickline.qluhdutils.api.Failure: Error while updating profile
	at de.tara_systems.quickline.traxisclient.impl.profile.ProfileUpdater$ProfileUpdaterHandlerThread$.handleMessage(ProfileUpdater.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
",50
107,log(): [SingleSignOn] Error: de.tara_systems.quickline.qluhdutils.api.Failure: java.lang.Throwable: [invalid_grant] Die Anmeldung ist fehlgeschlagen (Benutzername oder Passwort falsch),49
108,parseSettingsFromJsonString(),49
109,loadSubscriberToken(): [invalid_grant] Die Anmeldung ist fehlgeschlagen (Benutzername oder Passwort falsch),49
